ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,LaunchDate
PRD001,Aero Accessories 1,Accessories,Standard,Pulse,333.57,725.84,2023-05-24
PRD002,Pulse Wearables 2,Wearables,Premium,Volt,58.83,119.16,2022-07-24
PRD003,Aero Accessories 3,Accessories,Budget,Aero,74.06,118.49,2025-08-21
PRD004,Aero Laptops 4,Laptops,Standard,Aero,320.04,758.62,2022-03-04
PRD005,Orbit Smartphones 5,Smartphones,Standard,Nexus,408.33,612.36,2024-06-08
PRD006,Pulse Gaming 6,Gaming,Premium,Nexus,258.0,517.1,2024-07-03
PRD007,Nexus Smartphones 7,Smartphones,Standard,Pulse,299.63,410.37,2024-02-18
PRD008,Aero Wearables 8,Wearables,Premium,Aero,49.1,69.55,2021-12-27
PRD009,Pulse Gaming 9,Gaming,Standard,Nexus,467.67,989.77,2022-09-13
PRD010,Orbit Smartphones 10,Smartphones,Budget,Pulse,336.22,454.62,2023-03-16
PRD011,Orbit Gaming 11,Gaming,Standard,Pulse,71.94,160.16,2026-04-25
PRD012,Nexus Accessories 12,Accessories,Premium,Orbit,267.22,487.09,2025-03-02
PRD013,Orbit Audio 13,Audio,Standard,Nexus,206.32,278.12,2025-01-07
PRD014,Orbit Accessories 14,Accessories,Premium,Nexus,86.67,148.11,2022-02-08
PRD015,Aero Audio 15,Audio,Standard,Orbit,221.17,411.87,2026-04-16
PRD016,Orbit Accessories 16,Accessories,Standard,Volt,267.12,448.48,2022-10-12
PRD017,Nexus Smartphones 17,Smartphones,Standard,Aero,120.89,181.3,2023-09-26
PRD018,Aero Wearables 18,Wearables,Premium,Volt,240.24,506.88,2025-10-28
PRD019,Aero Smartphones 19,Smartphones,Budget,Orbit,234.23,528.53,2023-07-31
PRD020,Nexus Gaming 20,Gaming,Budget,Orbit,52.6,116.77,2021-11-29
PRD021,Nexus Laptops 21,Laptops,Premium,Volt,490.81,812.91,2023-02-07
PRD022,Nexus Accessories 22,Accessories,Budget,Volt,337.37,553.64,2026-02-16
PRD023,Nexus Accessories 23,Accessories,Premium,Orbit,64.36,99.85,2025-11-27
PRD024,Nexus Laptops 24,Laptops,Premium,Volt,288.45,683.51,2026-06-11
PRD025,Nexus Smartphones 25,Smartphones,Standard,Pulse,327.5,459.71,2026-01-22
PRD026,Orbit Wearables 26,Wearables,Budget,Aero,158.07,355.53,2022-01-23
PRD027,Pulse Wearables 27,Wearables,Standard,Pulse,420.29,648.33,2025-10-20
PRD028,Pulse Gaming 28,Gaming,Standard,Nexus,55.96,100.94,2022-09-14
PRD029,Nexus Accessories 29,Accessories,Premium,Aero,186.35,274.39,2024-04-20
PRD030,Aero Audio 30,Audio,Premium,Orbit,26.71,38.31,2024-05-17
PRD031,Orbit Audio 31,Audio,Premium,Volt,419.27,614.1,2024-08-22
PRD032,Aero Wearables 32,Wearables,Budget,Volt,348.52,542.86,2025-12-11
PRD033,Orbit Wearables 33,Wearables,Standard,Pulse,176.11,261.09,2025-06-27
PRD034,Pulse Laptops 34,Laptops,Standard,Orbit,90.93,152.68,2023-12-20
PRD035,Orbit Gaming 35,Gaming,Premium,Aero,425.03,733.89,2021-10-28
PRD036,Aero Smartphones 36,Smartphones,Standard,Aero,241.8,344.6,2025-08-01
PRD037,Orbit Smartphones 37,Smartphones,Budget,Nexus,484.79,1036.49,2021-10-18
PRD038,Orbit Laptops 38,Laptops,Standard,Volt,362.14,604.58,2022-10-22
PRD039,Pulse Audio 39,Audio,Premium,Pulse,223.5,375.95,2022-08-24
PRD040,Pulse Accessories 40,Accessories,Premium,Orbit,56.33,125.79,2022-06-02
PRD041,Orbit Smartphones 41,Smartphones,Budget,Pulse,396.56,639.07,2025-05-06
PRD042,Orbit Gaming 42,Gaming,Standard,Nexus,215.91,466.15,2026-06-03
PRD043,Aero Wearables 43,Wearables,Premium,Orbit,132.97,288.06,2022-12-20
PRD044,Nexus Laptops 44,Laptops,Premium,Volt,448.89,638.98,2025-07-07
PRD045,Orbit Laptops 45,Laptops,Budget,Orbit,307.94,723.28,2024-07-07
PRD046,Aero Accessories 46,Accessories,Budget,Orbit,332.13,481.2,2023-09-24
PRD047,Pulse Audio 47,Audio,Budget,Orbit,136.59,308.39,2026-04-15
PRD048,Orbit Laptops 48,Laptops,Standard,Aero,397.31,658.04,2022-01-08
PRD049,Pulse Laptops 49,Laptops,Budget,Aero,356.57,489.33,2025-12-23
